"first","last","seasons","games","AB","runs","hits","doubles","triples","HR","RBI","BB","SO","BA","OBP","SP","AP","BR","ABRuns","Runs.Created","SB","CS","Stolen.Base.Runs","Fielding.Average","Fielding.Runs","Primary.Position.Played","Total.Player.Rating","Hall.Fame.Membership"
"TED","KUBIAK",10,977,2447,238,565,61,21,13,202,271,247,0.231,0.309,0.289,73,-91,-81,219,33,57,30,0.981,-39,"2",-8.4,"not a member"
"BILL","KUEHNE",10,1087,4284,536,996,145,115,25,313,137,235,0.232,0.258,0.338,84,-122,-83,428,56,NA,NA,0.876,-4,"3",-5.8,"not a member"
"HARVEY","KUENN",15,1833,6913,951,2092,356,56,87,671,594,369,0.303,0.359,0.408,108,85,82,1013,305,95,6,0.978,-166,"O",-8.4,"not a member"
"JOE","KUHEL",18,2104,7984,1236,2212,412,111,131,1049,980,535,0.277,0.359,0.406,104,33,54,1223,84,132,2,0.992,-48,"1",-16.5,"not a member"
"DUANE","KUIPER",12,1057,3379,329,917,91,29,1,263,248,230,0.271,0.326,0.316,81,-83,-78,340,275,112,20,0.983,-36,"2",-8.7,"not a member"
"CHET","LAABS",11,950,3102,467,813,151,44,117,509,389,521,0.262,0.346,0.452,113,60,48,501,195,57,25,0.977,-21,"O",-1.1,"not a member"
"CANDY","LaCHANCE",12,1263,4919,678,1377,197,86,39,690,219,71,0.28,0.318,0.379,94,-56,-45,693,100,NA,NA,0.984,-93,"1",-14.4,"not a member"
"LEE","LACY",16,1523,4549,650,1303,207,42,91,458,372,559,0.286,0.342,0.41,108,42,44,637,92,128,59,0.983,-23,"O",0.7,"not a member"
"JOE","LAHOUD",11,791,1925,239,429,68,12,65,218,309,309,0.223,0.335,0.372,103,11,12,252,108,54,27,0.979,-19,"O",-3.4,"not a member"
"NAP","LAJOIE",21,2480,9589,1504,3242,657,163,83,1599,516,667,0.338,0.38,0.467,150,558,561,1907,227,56,NA,0.963,369,"2",94.9,"Select by writers"
"EDDIE","LAKE",11,835,2595,442,599,105,9,39,193,546,285,0.231,0.366,0.323,91,-1,-11,354,275,83,NA,0.947,-48,"S",-3,"not a member"
"STEVE","LAKE",10,432,1005,78,240,35,5,13,95,39,99,0.239,0.271,0.322,63,-50,-53,86,3,2,32,0.99,17,"C",-2.1,"not a member"
"JIM","LANDIS",11,1346,4288,625,1061,169,50,93,467,588,628,0.247,0.346,0.375,100,3,10,602,43,90,35,0.989,57,"O",1.1,"not a member"
"KEN","LANDREAUX",11,1264,4101,522,1099,180,45,91,479,299,388,0.268,0.321,0.4,99,-16,-13,524,49,100,73,0.981,-73,"O",-11.8,"not a member"
"HOBIE","LANDRITH",14,772,1929,179,450,69,5,34,203,253,168,0.233,0.323,0.327,75,-64,-62,213,268,23,NA,0.983,22,"C",-2,"not a member"
"HAL","LANIER",10,1196,3703,297,843,111,20,8,273,136,400,0.228,0.256,0.275,50,-244,-245,236,15,14,22,0.971,132,"S",-2.4,"not a member"
"CARNEY","LANSFORD",15,1862,7158,1007,2074,332,40,151,874,553,602,0.29,0.346,0.411,112,77,110,1007,129,8,64,0.966,-235,"3",-14.7,"not a member"
"FRANK","LaPORTE",11,1194,4212,501,1185,198,79,15,560,288,667,0.281,0.331,0.377,109,54,41,573,6,NA,NA,0.952,-29,"2",0.2,"not a member"
"HENRY","LARKIN",10,1184,4718,925,1430,259,114,53,549,484,100,0.303,0.38,0.44,144,262,264,858,32,NA,NA,0.971,-21,"1",16.8,"not a member"
"LYN","LARY",12,1302,4603,805,1239,247,56,38,526,705,429,0.269,0.369,0.372,90,-53,-48,696,67,87,NA,0.956,11,"S",6.2,"not a member"
"ARLIE","LATHAM",17,1627,6822,1478,1833,245,85,27,398,589,214,0.269,0.334,0.341,93,-5,-63,1078,315,NA,NA,0.87,61,"3",3.2,"not a member"
"CHARLIE","LAU",11,527,1170,105,298,63,9,16,140,109,119,0.255,0.321,0.365,89,-17,-17,141,183,3,32,0.988,-21,"C",-2.5,"not a member"
"COOKIE","LAVAGETTO",10,1043,3509,487,945,183,37,40,486,485,220,0.269,0.36,0.377,98,20,5,500,298,NA,NA,0.936,-85,"3",-5.3,"not a member"
"DOC","LAVAN",12,1163,3891,338,954,134,45,7,377,209,345,0.245,0.288,0.308,75,-147,-131,351,310,95,NA,0.93,85,"S",1.2,"not a member"
"VANCE","LAW",11,1212,3802,453,972,193,26,71,442,408,526,0.256,0.329,0.376,94,-21,-29,476,207,61,26,0.956,-37,"3",-5.9,"not a member"
"TONY","LAZZERI",14,1740,6297,986,1840,334,115,178,1191,869,673,0.292,0.38,0.467,122,166,205,1146,52,120,NA,0.967,-119,"2",16.1,"selected by members"
"FREDDY","LEACH",10,991,3733,543,1147,196,53,72,509,163,170,0.307,0.341,0.446,101,4,-3,553,195,77,NA,0.975,-5,"O",-6.6,"not a member"
"RICK","LEACH",10,799,1719,205,460,100,10,18,183,176,196,0.268,0.338,0.369,94,-10,-11,214,323,121,13,0.983,-26,"O",-5.5,"not a member"
"TOMMY","LEACH",19,2156,7959,1355,2143,266,172,63,810,820,252,0.269,0.34,0.37,108,107,82,1144,219,37,NA,0.975,113,"O",17.8,"not a member"
"HANK","LEIBER",10,813,2805,410,808,137,24,101,518,274,292,0.288,0.356,0.462,122,80,83,469,268,NA,NA,0.973,-49,"O",0.3,"not a member"
"NEMO","LEIBOLD",13,1268,4167,638,1109,145,49,3,284,571,306,0.266,0.357,0.327,91,-30,-30,523,37,98,NA,0.961,38,"O",-7.7,"not a member"
"JOHNNIE","LeMASTER",12,1039,3191,320,709,109,19,22,229,241,497,0.222,0.278,0.289,60,-180,-170,263,342,90,13,0.961,-9,"S",-9.3,"not a member"
"CHET","LEMON",16,1988,6868,973,1875,396,61,215,884,749,16,0.273,0.357,0.442,121,191,201,1078,288,117,21,0.984,116,"O",22,"not a member"
"JIM","LEMON",12,1010,3445,446,901,121,35,164,529,363,638,0.262,0.335,0.46,114,55,57,530,33,48,28,0.961,-10,"O",-0.9,"not a member"
"JEFFREY","LEONARD",14,1415,5045,614,1342,223,37,144,723,342,6,0.266,0.316,0.411,103,-11,4,627,68,101,37,0.974,4,"O",-1.7,"not a member"
"TED","LEPCIO",10,729,2092,233,512,91,11,69,251,209,430,0.245,0.319,0.398,87,-22,-42,266,15,40,27,0.972,52,"2",3.1,"not a member"
"SAM","LESLIE",10,822,2460,311,749,123,28,36,389,216,56,0.304,0.366,0.421,117,50,58,385,44,NA,NA,0.989,-2,"1",-0.2,"not a member"
"DUFFY","LEWIS",11,1459,5351,612,1518,289,68,38,793,352,324,0.284,0.333,0.384,108,42,36,716,18,85,NA,0.959,16,"O",-3.8,"not a member"
"BUDDY","LEWIS",11,1349,5261,830,1563,249,93,71,607,573,276,0.297,0.368,0.42,112,44,85,841,327,98,4,0.927,11,"3",6.7,"not a member"
"SIXTO","LEZCANO",12,1291,4134,560,1122,184,34,148,591,576,629,0.271,0.363,0.44,125,136,142,675,223,68,29,0.98,40,"O",13.1,"not a member"
"BOB","LILLIS",10,817,2328,198,549,68,9,3,137,99,53,0.236,0.271,0.277,54,-149,-139,167,135,60,29,0.959,8,"S",-9.8,"not a member"
"JOHNNY","LINDELL",12,854,2795,401,762,124,48,72,404,289,337,0.273,0.344,0.429,113,47,44,412,75,30,NA,0.98,7,"O",0.6,"not a member"
"FREDDY","LINDSTROM",13,1438,5611,895,1747,301,81,103,779,334,250,0.311,0.351,0.449,110,64,70,873,328,4,NA,0.959,37,"3",11,"selected by members"
"DANNY","LITWHILER",11,1057,3494,428,982,162,32,107,451,299,346,0.281,0.342,0.438,119,71,77,521,15,2,NA,0.982,9,"O",4.1,"not a member"
"MICKEY","LIVINGSTON",10,561,1490,128,354,56,9,19,153,144,100,0.238,0.31,0.326,82,-40,-35,154,308,2,NA,0.984,-15,"C",-2.1,"not a member"
"HANS","LOBERT",14,1317,4563,640,1252,159,82,32,482,395,129,0.274,0.337,0.366,109,54,47,679,192,40,NA,0.944,-146,"3",-8.2,"not a member"
"WHITEY","LOCKMAN",15,1666,5940,836,1658,222,49,114,563,552,351,0.279,0.342,0.391,95,-36,-40,826,249,62,NA,0.989,-9,"1",-13,"not a member"
"JOHNNY","LOGAN",13,1503,5244,651,1407,216,41,93,547,451,431,0.268,0.331,0.378,95,-77,-35,665,97,30,13,0.965,105,"S",18.1,"not a member"
"SHERM","LOLLAR",18,1752,5351,623,1415,244,14,155,808,671,414,0.264,0.359,0.402,104,47,40,782,108,4,32,0.992,-16,"C",9.4,"not a member"
"ERNIE","LOMBARDI",17,1853,5855,601,1792,277,27,190,990,430,237,0.306,0.358,0.46,126,180,191,907,323,NA,NA,0.979,-113,"C",17.1,"selected by members"
"HERMAN","LONG",16,1874,7674,1455,2127,342,96,92,1055,612,236,0.277,0.335,0.383,94,-1,-93,1228,277,NA,NA,0.906,97,"S",8.3,"not a member"
"DALE","LONG",10,1013,3020,384,805,135,33,132,467,353,420,0.267,0.345,0.464,116,57,63,485,4,65,33,0.988,-7,"1",0.7,"not a member"
"STAN","LOPATA",13,853,2601,375,661,116,25,116,397,393,449,0.254,0.354,0.452,115,50,56,422,86,14,NA,0.986,-15,"C",6.6,"not a member"
"DAVEY","LOPES",16,1812,6354,1023,1671,232,50,155,614,833,669,0.263,0.351,0.388,107,54,71,955,283,18,76,0.977,-197,"2",5,"not a member"
"AL","LOPEZ",19,1950,5916,613,1547,206,43,51,652,556,481,0.261,0.326,0.337,83,-147,-128,664,258,3,NA,0.985,67,"C",5,"not a member"
"HECTOR","LOPEZ",12,1450,4644,623,1251,193,37,136,591,418,588,0.269,0.333,0.415,104,12,17,622,64,58,30,0.967,-13,"O",-1.9,"not a member"
"BOBBY","LOWE",18,1818,7064,1131,1929,230,85,71,984,473,192,0.273,0.325,0.36,87,-74,-148,987,187,NA,NA,0.95,68,"2",-3.4,"not a member"
"JOHN","LOWENSTEIN",16,1368,3476,510,881,137,18,116,441,446,522,0.253,0.34,0.403,108,41,43,496,31,119,29,0.984,-96,"O",-8.7,"not a member"
"PEANUTS","LOWREY",13,1401,4317,564,1177,186,45,37,479,403,205,0.273,0.336,0.362,92,-52,-44,533,264,65,NA,0.983,9,"O",-7.9,"not a member"
"GREG","LUZINSKI",15,1821,6505,880,1795,344,24,307,1128,845,117,0.276,0.366,0.478,129,291,269,1154,223,68,29,0.972,-101,"O",10.8,"not a member"
"JERRY","LYNCH",13,1184,2879,364,798,123,34,115,470,224,382,0.277,0.331,0.463,110,42,35,434,24,44,28,0.964,-58,"O",-6.4,"not a member"
"FRED","LYNN",17,1969,6925,1063,1960,388,43,306,1111,857,42,0.283,0.364,0.484,129,309,280,1233,311,93,4,0.988,35,"O",23.7,"not a member"
"DENNY","LYONS",13,1121,4294,932,1333,244,69,62,569,621,191,0.31,0.407,0.443,141,256,254,898,129,NA,NA,0.882,-26,"3",21.3,"not a member"
"CONNIE","MACK",11,723,2695,391,659,79,28,5,265,169,76,0.245,0.305,0.3,74,-102,-82,297,30,NA,NA,0.927,54,"C",2.2,"not a member"
"ELLIOTT","MADDOX",11,1029,2843,360,742,121,16,18,234,409,329,0.261,0.361,0.334,100,5,17,357,294,93,7,0.989,8,"O",-2,"not a member"
"GARRY","MADDOX",15,1749,6331,777,1802,337,62,117,754,323,635,0.285,0.323,0.413,100,12,-11,838,149,134,43,0.983,67,"O",1,"not a member"
"BILL","MADLOCK",15,1806,6594,920,2008,348,34,163,860,605,459,0.305,0.369,0.442,123,213,206,1053,80,132,13,0.948,-185,"3",1.1,"not a member"
"SHERRY","MAGEE",16,2087,7441,1112,2169,425,166,83,1176,736,330,0.291,0.363,0.427,137,331,328,1327,253,23,NA,0.97,16,"O",27.2,"not a member"
"HANK","MAJESKI",13,1069,3421,404,956,181,27,57,501,299,235,0.279,0.342,0.398,100,-11,-7,462,4,14,NA,0.968,49,"3",3.3,"not a member"
"FRANK","MALZONE",12,1441,5428,647,1486,239,21,133,728,337,398,0.274,0.318,0.399,91,-44,-73,656,44,37,25,0.955,47,"3",-2.9,"not a member"
"GUS","MANCUSO",17,1460,4505,386,1194,197,16,53,543,418,239,0.265,0.328,0.351,85,-85,-90,536,323,NA,NA,0.977,75,"C",5.9,"not a member"
"CLYDE","MANION",13,477,1145,96,250,25,3,3,112,118,14,0.218,0.293,0.253,45,-89,-90,94,268,65,NA,0.973,33,"C",-3.4,"not a member"
"LES","MANN",16,1498,4716,677,1332,203,106,44,503,324,424,0.282,0.332,0.398,110,51,53,656,32,56,NA,0.966,-32,"O",-5.5,"not a member"
"RICK","MANNING",13,1555,5248,664,1349,189,43,56,458,471,536,0.257,0.319,0.341,84,-112,-106,580,73,119,59,0.985,40,"O",-11.2,"not a member"
"FELIX","MANTILLA",11,969,2707,360,707,97,10,89,330,256,323,0.261,0.331,0.403,100,-1,1,361,167,4,44,0.977,-43,"2",-1.1,"not a member"
"MICKEY","MANTLE",18,2401,8102,1677,2415,344,72,536,1509,1733,147,0.298,0.423,0.557,173,803,838,2069,58,75,47,0.982,-9,"O",73.6,"Select by writers"
"HEINIE","MANUSH",17,2008,7654,1287,2524,491,160,110,1183,506,316,0.33,0.377,0.479,121,218,215,1383,19,97,NA,0.979,-50,"O",5.2,"selected by members"
"RABBIT","MARANVILLE",23,2670,10078,1255,2605,380,177,28,884,839,623,0.258,0.318,0.34,82,-263,-240,1132,179,135,NA,0.952,158,"S",13.5,"Select by writers"
"MARTY","MARION",13,1572,5506,602,1448,272,37,36,624,470,480,0.263,0.323,0.345,81,-113,-145,623,212,53,NA,0.969,92,"S",5.3,"not a member"
"ROGER","MARIS",12,1463,5101,826,1325,195,42,275,851,652,608,0.26,0.348,0.476,128,174,185,878,118,131,33,0.982,-2,"O",11.3,"not a member"
"MIKE","MARSHALL",11,1035,3593,433,971,173,8,148,530,247,649,0.27,0.324,0.446,115,50,59,499,158,70,5,0.978,-24,"O",-1.2,"not a member"
"WILLARD","MARSHALL",11,1246,4233,583,1160,163,39,130,604,458,198,0.274,0.347,0.423,109,47,52,625,44,77,NA,0.979,20,"O",1.4,"not a member"
"BILLY","MARTIN",11,1021,3419,425,877,137,28,64,333,188,326,0.257,0.301,0.369,81,-98,-97,364,207,64,28,0.98,-61,"2",-10.5,"not a member"
"JERRY","MARTIN",11,1018,2652,337,666,130,17,85,345,207,505,0.251,0.309,0.409,93,-17,-29,329,226,58,13,0.982,-12,"O",-7.3,"not a member"
"PEPPER","MARTIN",13,1189,4117,754,1227,270,75,59,501,369,402,0.298,0.358,0.443,112,93,73,679,50,NA,NA,0.973,-36,"O",3.1,"not a member"
"J.C.","MARTIN",14,908,2189,189,487,82,12,32,230,201,273,0.222,0.293,0.315,72,-82,-80,207,335,121,13,0.987,26,"C",-3.4,"not a member"
"BUCK","MARTINEZ",17,1049,2743,245,618,128,10,58,321,230,385,0.225,0.287,0.343,73,-96,-105,272,268,4,26,0.984,19,"C",-5.9,"not a member"
"PHIL","MASI",14,1229,3468,420,917,164,31,47,417,410,284,0.264,0.344,0.37,97,-19,-13,450,255,3,NA,0.983,-27,"C",1.8,"not a member"
"EDDIE","MATHEWS",17,2391,8537,1509,2315,354,72,512,1453,1444,115,0.271,0.378,0.509,145,480,531,1738,305,76,22,0.956,-22,"3",48.6,"Select by writers"
"GARY","MATTHEWS",16,2033,7147,1083,2011,319,51,234,978,940,43,0.281,0.367,0.439,116,229,178,1167,90,115,35,0.968,-42,"O",8,"not a member"
"DAL","MAXVILL",14,1423,3443,302,748,79,24,6,252,370,481,0.217,0.295,0.259,57,-186,-190,270,308,14,26,0.973,161,"S",8.7,"not a member"
"CHARLIE","MAXWELL",14,1133,3245,478,856,110,26,148,532,484,485,0.264,0.363,0.451,116,92,78,566,86,110,33,0.988,37,"O",7.1,"not a member"
"CARLOS","MAY",10,1165,4120,545,1127,172,23,90,536,512,498,0.274,0.36,0.392,111,85,73,589,329,92,27,0.984,-1,"O",1.9,"not a member"
"DAVE","MAY",12,1252,3670,462,920,130,20,96,422,344,452,0.251,0.32,0.375,97,-17,-17,435,294,85,3,0.978,11,"O",-6.3,"not a member"
"JERRY","MAY",10,556,1527,120,357,63,10,15,130,157,268,0.234,0.31,0.318,81,-36,-35,148,3,53,2,0.99,20,"C",0.7,"not a member"
"LEE","MAY",18,2071,7609,959,2031,340,31,354,1244,487,131,0.267,0.315,0.459,116,117,129,1039,234,72,30,0.994,-18,"1",-0.9,"not a member"
"MILT","MAY",15,1192,3693,313,971,147,11,77,443,305,333,0.263,0.321,0.371,93,-41,-37,426,238,30,28,0.986,14,"C",0.7,"not a member"
"JOHN","MAYBERRY",15,1620,5447,733,1379,211,19,255,879,881,649,0.253,0.363,0.439,122,195,177,913,108,44,25,0.994,-49,"1",2.5,"not a member"
"LEE","MAYE",13,1288,4048,533,1109,190,39,94,419,282,438,0.274,0.324,0.41,108,17,32,539,291,71,22,0.97,-19,"O",-4.2,"not a member"
"WILLIE","MAYS",22,2992,10881,2062,3283,523,140,660,1903,1464,123,0.302,0.387,0.557,157,827,838,2372,206,7,60,0.981,131,"O",86.4,"Select by writers"
"BILL","MAZEROSKI",17,2163,7755,769,2016,294,62,138,853,447,593,0.26,0.302,0.367,84,-180,-174,824,167,58,27,0.983,362,"2",36.6,"not a member"
"LEE","MAZZILLI",14,1475,4124,571,1068,191,24,93,460,642,543,0.259,0.361,0.385,109,54,69,618,105,132,64,0.986,-18,"O",1,"not a member"
"JIMMY","McALEER",13,1020,3977,619,1006,114,39,12,469,365,265,0.253,0.322,0.31,73,-129,-145,499,161,NA,NA,0.944,54,"O",-12.3,"not a member"
"DICK","McAULIFFE",16,1763,6185,888,1530,231,71,197,697,882,716,0.247,0.344,0.403,108,104,81,899,298,98,10,0.977,-150,"2",3.6,"not a member"
"BAKE","McBRIDE",11,1071,3853,548,1153,167,55,63,430,248,417,0.299,0.348,0.42,109,57,46,570,90,103,41,0.989,25,"O",4.9,"not a member"
"GEORGE","McBRIDE",16,1659,5526,516,1203,140,47,7,447,419,246,0.218,0.281,0.264,65,-244,-234,461,37,51,NA,0.948,170,"S",2.6,"not a member"
"JACK","McCARTHY",12,1091,4195,550,1203,171,66,7,474,268,80,0.287,0.333,0.364,101,-12,-1,591,49,NA,NA,0.946,-17,"O",-8.5,"not a member"
"JOHNNY","McCARTHY",11,542,1557,182,432,72,16,25,209,90,48,0.277,0.319,0.392,95,-13,-14,194,323,NA,NA,0.99,-5,"1",-5.4,"not a member"
"TOMMY","McCARTHY",13,1275,5128,1069,1496,192,53,44,666,537,136,0.292,0.364,0.376,102,87,12,920,261,NA,NA,0.897,45,"O",0.5,"selected by members"
"TIM","McCARVER",21,1909,5529,590,1501,242,57,97,645,548,389,0.271,0.34,0.388,102,41,24,735,295,87,4,0.99,-10,"C",6.8,"not a member"
"FRANK","McCORMICK",13,1534,5723,722,1711,334,26,128,951,399,170,0.299,0.348,0.434,118,115,124,834,167,NA,NA,0.995,31,"1",5,"not a member"
"MIKE","McCORMICK",10,748,2325,302,640,100,29,14,215,188,148,0.275,0.33,0.361,90,-35,-33,277,64,65,NA,0.976,-14,"O",-8,"not a member"
"BARRY","McCORMICK",10,989,3645,433,867,110,42,15,417,280,274,0.238,0.297,0.303,71,-141,-137,388,34,NA,NA,0.885,-18,"3",-11.3,"not a member"
"BARNEY","McCOSKY",11,1170,4172,664,1301,214,71,24,397,497,236,0.312,0.386,0.414,109,96,68,715,288,68,2,0.984,-1,"O",1.1,"not a member"
"WILLIE","McCOVEY",22,2588,8197,1229,2211,353,46,521,1555,1345,127,0.27,0.377,0.515,148,524,538,1638,158,57,26,0.987,-41,"1",35.1,"Select by writers"
"TOMMY","McCRAW",13,1468,3956,484,972,150,42,75,404,332,484,0.246,0.311,0.362,94,-40,-32,446,47,108,44,0.991,-22,"1",-12.1,"not a member"
"CLYDE","McCULLOUGH",15,1098,3121,308,785,121,28,52,339,265,362,0.252,0.314,0.358,85,-70,-68,352,167,3,NA,0.984,8,"C",-0.7,"not a member"
"HARRY","McCURDY",10,543,1157,148,326,71,12,9,148,129,32,0.282,0.355,0.387,92,-8,-12,163,24,131,NA,0.97,-24,"C",-1.7,"not a member"
"GIL","McDOUGALD",10,1336,4676,697,1291,187,51,112,576,559,541,0.276,0.358,0.41,112,58,79,708,255,82,6,0.984,42,"2",16.7,"not a member"
"ED","McFARLAND",14,894,3007,398,826,146,49,13,383,254,171,0.275,0.335,0.369,104,3,14,419,301,NA,NA,0.967,16,"C",10.7,"not a member"
"DAN","McGANN",12,1436,5222,842,1482,181,100,42,727,429,4,0.284,0.362,0.381,117,131,121,866,174,NA,NA,0.989,10,"1",11.1,"not a member"
"CHIPPY","McGARR",10,826,3253,537,872,116,28,9,294,183,130,0.268,0.31,0.329,73,-109,-134,432,164,NA,NA,0.903,-32,"3",-12.7,"not a member"
"JOHN","McGRAW",16,1099,3924,1024,1309,121,70,13,462,836,611,0.334,0.465,0.41,136,289,271,988,251,NA,NA,0.9,-88,"3",17.2,"not a member"
"DEACON","McGUIRE",26,1781,6290,770,1749,300,79,45,787,515,193,0.278,0.341,0.372,102,21,24,887,22,NA,NA,0.938,-19,"C",13.4,"not a member"
"STUFFY","McINNIS",19,2128,7822,872,2405,312,101,20,1062,380,170,0.307,0.343,0.381,106,9,36,1065,78,98,NA,0.993,17,"1",-2.4,"not a member"
"MATTY","McINTYRE",10,1072,3958,562,1066,140,69,4,319,439,NA,0.269,0.346,0.343,110,66,59,526,25,NA,NA,0.964,56,"O",7.2,"not a member"
"ED","McKEAN",13,1654,6890,1227,2083,272,158,66,1070,635,130,0.302,0.364,0.416,115,160,135,1208,197,NA,NA,0.9,-232,"S",-3,"not a member"
"BILL","McKECHNIE",11,846,2843,319,713,86,33,8,240,190,181,0.251,0.301,0.313,78,-73,-81,324,30,77,NA,0.952,22,"3",-4.4,"not a member"
"LARRY","McLEAN",13,862,2647,183,694,90,26,6,298,136,639,0.262,0.3,0.323,86,-57,-51,263,108,NA,NA,0.973,-26,"C",-1.2,"not a member"
"MARTY","McMANUS",15,1831,6660,1008,1926,401,88,120,996,675,494,0.289,0.357,0.43,101,29,7,1033,29,133,NA,0.965,44,"2",9.1,"not a member"
"ROY","McMILLAN",16,2093,6752,739,1639,253,35,68,594,665,597,0.243,0.316,0.321,72,-249,-258,702,243,73,30,0.972,67,"S",-4.2,"not a member"
"KEN","McMULLEN",16,1583,5131,568,1273,172,26,156,606,510,652,0.248,0.318,0.383,105,-1,23,617,108,51,26,0.961,61,"3",7,"not a member"
"ERIC","McNAIR",14,1251,4519,592,1240,229,29,82,633,261,301,0.274,0.318,0.392,80,-135,-150,556,288,93,8,0.949,-83,"S",-17,"not a member"
"MIKE","McNALLY",10,492,1078,169,257,16,6,1,85,92,715,0.238,0.299,0.267,54,-69,-68,98,234,51,NA,0.946,41,"2",-2,"not a member"
"BID","McPHEE",18,2135,8291,1678,2250,303,188,53,727,981,206,0.271,0.355,0.372,108,143,97,1345,285,NA,NA,0.944,315,"2",42.3,"selected by members"
"GEORGE","McQUINN",12,1550,5747,832,1588,315,64,135,794,712,546,0.276,0.357,0.424,109,88,76,920,195,68,NA,0.992,31,"1",-0.9,"not a member"
"HAL","McRAE",19,2084,7218,940,2091,484,66,191,1097,648,633,0.29,0.355,0.454,122,227,213,1138,14,119,7,0.966,-16,"D",16.3,"not a member"
"JOE","MEDWICK",17,1984,7635,1198,2471,540,113,205,1383,437,490,0.324,0.362,0.505,133,354,322,1372,246,NA,NA,0.98,49,"O",28,"Select by writers"
"SAM","MELE",10,1046,3437,406,916,168,39,80,544,311,313,0.267,0.329,0.408,97,-21,-25,451,54,37,25,0.985,-39,"O",-10.5,"not a member"
"SKI","MELILLO",12,1377,5063,590,1316,210,64,22,548,327,279,0.26,0.306,0.34,64,-256,-292,530,307,105,11,0.973,151,"2",-8.3,"not a member"
"BILL","MELTON",10,1144,3971,496,1004,162,9,160,591,479,569,0.253,0.34,0.419,112,74,64,571,135,59,29,0.949,57,"3",10.8,"not a member"
"DENIS","MENKE",13,1598,5071,605,1270,225,40,101,606,698,670,0.25,0.346,0.37,104,32,45,675,207,93,16,0.961,-57,"S",3.9,"not a member"
"FRED","MERKLE",16,1638,5782,720,1580,290,82,60,733,454,512,0.273,0.331,0.383,109,64,59,804,169,54,NA,0.985,-5,"1",1.1,"not a member"
"SAM","MERTES",10,1190,4405,695,1227,188,108,40,721,422,4,0.279,0.346,0.398,114,72,76,777,236,NA,NA,0.938,-14,"O",1,"not a member"
"CATFISH","METKOVICH",10,1055,3585,476,934,167,36,47,373,307,330,0.261,0.323,0.367,91,-47,-49,434,295,63,44,0.976,-28,"O",-12.3,"not a member"
"ROGER","METZGER",11,1219,4201,453,972,101,71,5,254,355,409,0.231,0.293,0.293,67,-200,-178,372,327,73,52,0.976,-36,"S",-7.2,"not a member"
"IRISH","MEUSEL",11,1289,4900,701,1521,250,93,106,819,269,181,0.31,0.348,0.464,118,118,110,783,18,92,NA,0.959,-25,"O",-1,"not a member"
"BOB","MEUSEL",11,1407,5475,826,1693,368,95,156,1067,375,537,0.309,0.356,0.497,119,116,123,932,43,7,NA,0.958,-34,"O",-1.6,"not a member"
"DAN","MEYER",12,1118,3734,411,944,153,31,86,459,219,251,0.253,0.296,0.379,86,-77,-80,402,295,64,33,0.991,-38,"1",-16.2,"not a member"
"GENE","MICHAEL",10,973,2806,249,642,86,12,15,226,234,388,0.229,0.29,0.284,66,-131,-118,231,126,48,25,0.962,55,"S",3.1,"not a member"
"CASS","MICHAELS",12,1288,4367,508,1142,147,46,53,501,566,371,0.262,0.349,0.353,92,-46,-37,572,299,69,32,0.973,3,"2",2,"not a member"
"EDDIE","MIKSIS",14,1042,3053,383,722,95,17,44,228,215,286,0.236,0.288,0.322,62,-161,-166,283,275,57,NA,0.962,-17,"2",-16.5,"not a member"
"CLYDE","MILAN",16,1982,7359,1004,2100,240,105,17,617,685,179,0.285,0.353,0.353,109,77,92,1055,267,119,NA,0.953,58,"O",4.4,"not a member"
"LARRY","MILBOURNE",11,989,2448,290,623,71,24,11,184,133,153,0.254,0.295,0.317,70,-103,-99,222,243,70,29,0.974,3,"2",-6.4,"not a member"
"FELIX","MILLAN",12,1480,5791,699,1617,229,38,22,403,318,218,0.279,0.324,0.343,87,-100,-103,628,304,81,27,0.98,-129,"2",-14.9,"not a member"
"BING","MILLER",16,1820,6212,946,1936,389,96,116,990,383,311,0.312,0.359,0.461,108,83,57,1017,31,126,5,0.971,2,"O",-5.3,"not a member"
"EDDIE","MILLER",14,1510,5337,539,1270,263,28,97,640,351,425,0.238,0.29,0.352,80,-173,-155,540,299,NA,NA,0.972,102,"S",4.8,"not a member"
"DOGGIE","MILLER",13,1317,5167,839,1380,192,57,33,518,467,79,0.267,0.333,0.345,99,-25,5,712,159,NA,NA,0.918,-155,"C",-7.5,"not a member"
"DOTS","MILLER",12,1589,5805,711,1526,232,108,32,715,391,415,0.263,0.314,0.357,95,-39,-46,696,83,66,NA,0.988,-21,"1",-7.9,"not a member"
"OTTO","MILLER",13,927,2836,229,695,97,33,5,231,104,275,0.245,0.275,0.308,67,-123,-126,250,239,99,NA,0.973,11,"C",-5.5,"not a member"
"NORM","MILLER",10,540,1364,166,325,68,10,24,159,160,240,0.238,0.325,0.356,95,-12,-8,162,64,4,2,0.972,-7,"O",-3.7,"not a member"
"RICK","MILLER",15,1482,3887,552,1046,161,35,28,369,454,512,0.269,0.348,0.35,92,-11,-29,488,321,105,9,0.986,-10,"O",-10.1,"not a member"
"JOCKO","MILLIGAN",10,772,2964,440,848,189,50,49,363,210,87,0.286,0.341,0.433,124,98,81,469,243,NA,NA,0.93,78,"C",17.1,"not a member"
"JOHN","MILNER",12,1215,3436,455,855,140,16,131,498,504,432,0.249,0.347,0.413,112,53,59,501,189,57,25,0.991,-12,"1",-0.7,"not a member"
